UI,Name,Count,DateRange,PriorYearCount,PriorYearDateRange
D000071916,AC133 Antigen,70,2025/01/01-2025/12/31,65,2024/01/01-2024/12/31
D000071936,Nipple Discharge,17,2025/01/01-2025/12/31,5,2024/01/01-2024/12/31
D000071937,Cerebral Blood Volume,38,2025/01/01-2025/12/31,33,2024/01/01-2024/12/31
D000071938,Fasciotomy,129,2025/01/01-2025/12/31,142,2024/01/01-2024/12/31
D000071939,Stroke Rehabilitation,1916,2025/01/01-2025/12/31,1643,2024/01/01-2024/12/31
D000071940,Nucleons,534,2025/01/01-2025/12/31,780,2024/01/01-2024/12/31
D000071941,Barium Enema,3,2025/01/01-2025/12/31,1,2024/01/01-2024/12/31
D000071956,Myocardial Contusions,6,2025/01/01-2025/12/31,10,2024/01/01-2024/12/31
D000071959,Case Managers,24,2025/01/01-2025/12/31,38,2024/01/01-2024/12/31
D000071960,Breast Carcinoma In Situ,226,2025/01/01-2025/12/31,267,2024/01/01-2024/12/31
D000071976,Gracilis Muscle,30,2025/01/01-2025/12/31,36,2024/01/01-2024/12/31
D000071997,Blood Culture,294,2025/01/01-2025/12/31,273,2024/01/01-2024/12/31
D000071999,S100 Calcium-Binding Protein A4,43,2025/01/01-2025/12/31,44,2024/01/01-2024/12/31
D000072000,NF-KappaB Inhibitor alpha,53,2025/01/01-2025/12/31,91,2024/01/01-2024/12/31
D000072001,"Diet, Healthy",1316,2025/01/01-2025/12/31,1061,2024/01/01-2024/12/31
D000072002,Prion Proteins,147,2025/01/01-2025/12/31,120,2024/01/01-2024/12/31
D000072017,Deubiquitinating Enzymes,1084,2025/01/01-2025/12/31,970,2024/01/01-2024/12/31
D000072018,Audiologists,30,2025/01/01-2025/12/31,38,2024/01/01-2024/12/31
D000072019,Kelch-Like ECH-Associated Protein 1,572,2025/01/01-2025/12/31,588,2024/01/01-2024/12/31
D000072020,Synthetic Lethal Mutations,87,2025/01/01-2025/12/31,89,2024/01/01-2024/12/31
D000072036,Prophylactic Mastectomy,38,2025/01/01-2025/12/31,29,2024/01/01-2024/12/31
D000072038,Cardiac Rehabilitation,375,2025/01/01-2025/12/31,428,2024/01/01-2024/12/31
D000072039,Fracture Dislocation,77,2025/01/01-2025/12/31,83,2024/01/01-2024/12/31
D000072040,Apolipoprotein A-V,13,2025/01/01-2025/12/31,17,2024/01/01-2024/12/31
D000072041,PAX3 Transcription Factor,25,2025/01/01-2025/12/31,24,2024/01/01-2024/12/31
D000072042,Salter-Harris Fractures,5,2025/01/01-2025/12/31,12,2024/01/01-2024/12/31
D000072056,Transcription Factor HES-1,49,2025/01/01-2025/12/31,43,2024/01/01-2024/12/31
D000072077,Anesthetists,296,2025/01/01-2025/12/31,439,2024/01/01-2024/12/31
